block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
38,cube0,0.363030,599,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38,vector0,NA,NA,NA,NA,NA,NA,1.492727,2463,0.002211,0.002185,0.000026,0.000000,0.000000,0.005566,0.000000,0.014477,
38,vector1,NA,NA,NA,NA,NA,NA,1.877576,3098,0.002211,0.002185,0.000026,0.000000,0.000000,0.007725,0.000000,0.014981,
39,cube0,0.347879,574,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
39,vector0,NA,NA,NA,NA,NA,NA,1.580000,2607,0.002211,0.002185,0.000026,0.000000,0.000000,0.004106,0.000000,0.013897,
39,vector1,NA,NA,NA,NA,NA,NA,1.486061,2452,0.002211,0.002185,0.000026,0.000000,0.000000,0.005702,0.000000,0.013197,
40,cube0,0.349697,577,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40,vector0,NA,NA,NA,NA,NA,NA,1.599394,2639,0.002211,0.002185,0.000026,0.000000,0.000000,0.007187,0.000000,0.014947,
40,vector1,NA,NA,NA,NA,NA,NA,1.420606,2344,0.002211,0.002185,0.000026,0.000000,0.000000,0.004695,0.000000,0.014127,
41,cube0,0.290303,479,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
41,vector0,NA,NA,NA,NA,NA,NA,1.784848,2945,0.002211,0.002185,0.000026,0.000000,0.000000,0.005412,0.000000,0.013427,
41,vector1,NA,NA,NA,NA,NA,NA,1.514545,2499,0.002211,0.002185,0.000026,0.000000,0.000000,0.003295,0.000000,0.012386,
42,cube0,0.346061,571,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
42,vector0,NA,NA,NA,NA,NA,NA,1.561818,2577,0.002211,0.002185,0.000026,0.000000,0.000000,0.006189,0.000000,0.015356,
42,vector1,NA,NA,NA,NA,NA,NA,1.535758,2534,0.002211,0.002185,0.000026,0.000000,0.000000,0.006129,0.000000,0.013385,
43,cube0,0.294545,486,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
