block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
50,cube0,0.329091,543,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
50,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.653939,2729,1,64,1,65,1,63,1.538462,1.538462,1.538462,
50,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.982424,3271,1,64,64,0,66,0,1.538462,100.000000,67.179489,
51,cube0,0.371515,613,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.690909,2790,65,0,65,0,65,0,100.000000,100.000000,100.000000,
51,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.587879,2620,65,0,1,64,1,64,100.000000,1.538462,34.358974,
52,cube0,0.305455,504,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
52,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.558788,2572,53,12,22,43,24,41,81.538460,35.384617,50.769230,
52,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.395151,2302,1,64,1,64,1,64,1.538462,1.538462,1.538462,
53,cube0,0.310303,512,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
53,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.695758,2798,13,52,40,24,46,20,20.000000,66.153847,50.769230,
53,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.572727,2595,65,0,66,0,64,0,100.000000,100.000000,100.000000,
54,cube0,0.321212,530,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.475758,2435,16,49,1,64,1,64,24.615385,1.538462,9.230769,
54,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.804848,2978,60,5,1,66,1,62,92.307693,1.538462,31.794872,
