block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
106,vector1,NA,NA,1.643030,2711,2.970346,2.333844,0.000000,0.000000,
107,cube0,0.338788,559,NA,NA,NA,NA,NA,NA,
107,vector0,NA,NA,1.756364,2898,2.970346,2.333844,0.000000,0.000000,
107,vector1,NA,NA,1.725455,2847,2.970346,2.333844,0.000000,0.000000,
108,cube0,0.315758,521,NA,NA,NA,NA,NA,NA,
108,vector0,NA,NA,1.518788,2506,2.970346,2.333844,0.000000,0.000000,
108,vector1,NA,NA,1.405455,2319,2.970346,2.333844,0.000000,0.000000,
109,cube0,0.353333,583,NA,NA,NA,NA,NA,NA,
109,vector0,NA,NA,1.746667,2882,2.970346,2.333844,0.000000,0.000000,
109,vector1,NA,NA,1.702424,2809,2.970346,2.333844,0.000000,0.000000,
110,cube0,0.326667,539,NA,NA,NA,NA,NA,NA,
110,vector0,NA,NA,1.515152,2500,2.970346,2.333844,0.000000,0.000000,
110,vector1,NA,NA,1.552727,2562,2.970346,2.333844,0.000000,0.000000,
111,cube0,0.375758,620,NA,NA,NA,NA,NA,NA,
111,vector0,NA,NA,1.653333,2728,2.970346,2.333844,0.000000,0.000000,
111,vector1,NA,NA,1.623030,2678,2.970346,2.333844,0.000000,0.000000,
112,cube0,0.306667,506,NA,NA,NA,NA,NA,NA,
112,vector0,NA,NA,1.566061,2584,2.970346,2.333844,0.000000,0.000000,
112,vector1,NA,NA,1.524848,2516,2.970346,2.333844,0.000000,0.000000,
113,cube0,0.311515,514,NA,NA,NA,NA,NA,NA,
113,vector0,NA,NA,1.818788,3001,2.970346,2.333844,0.000000,0.000000,
113,vector1,NA,NA,1.691515,2791,2.970346,2.333844,0.000000,0.000000,
114,cube0,0.321818,531,NA,NA,NA,NA,NA,NA,
114,vector0,NA,NA,1.870303,3086,2.970346,2.333844,0.000000,0.000000,
114,vector1,NA,NA,1.379394,2276,2.970346,2.333844,0.000000,0.000000,
115,cube0,0.349091,576,NA,NA,NA,NA,NA,NA,
115,vector0,NA,NA,1.495152,2467,2.970346,2.333844,0.000000,0.000000,
115,vector1,NA,NA,1.568485,2588,2.970346,2.333844,0.000000,0.000000,
116,cube0,0.336970,556,NA,NA,NA,NA,NA,NA,
116,vector0,NA,NA,1.381212,2279,2.970346,2.333844,0.000000,0.000000,
116,vector1,NA,NA,1.847273,3048,2.970346,2.333844,0.000000,0.000000,
117,cube0,0.302424,499,NA,NA,NA,NA,NA,NA,
117,vector0,NA,NA,1.493939,2465,2.970346,2.333844,0.000000,0.000000,
117,vector1,NA,NA,1.658182,2736,2.970346,2.333844,0.000000,0.000000,
118,cube0,0.360000,594,NA,NA,NA,NA,NA,NA,
