block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
70,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.536364,2535,
71,cube0,0.376970,622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
71,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.632121,2693,
71,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.651515,2725,
72,cube0,0.306061,505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
72,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.460000,2409,
72,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.366061,2254,
73,cube0,0.308485,509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
73,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.564849,2582,
73,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.421818,2346,
74,cube0,0.320000,528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
74,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.552121,2561,
74,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.998182,3297,
75,cube0,0.360606,595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
75,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.732727,2859,
75,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.597576,2636,
76,cube0,0.343636,567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
76,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.555151,2566,
76,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.795758,2963,
77,cube0,0.304242,502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
77,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.715758,2831,
77,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.569091,2589,
78,cube0,0.363636,600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
78,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.648485,2720,
78,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.417576,2339,
79,cube0,0.348485,575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
79,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.826667,3014,
79,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.672121,2759,
80,cube0,0.349091,576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
80,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.519394,2507,
80,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.513939,2498,
81,cube0,0.289697,478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
81,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.627273,2685,
81,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.614545,2664,
82,cube0,0.344848,569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
