block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),
11,cube0,0.407273,672,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.358182,0.001866,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.124242,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.441818,46929,23.551516,0.122664,17.072121,0.088917,38.432713,11.197576,0.058321,58.595535,0.000000,2.195152,0.011433,0.421212,0.699394,22.207878,22.845455,0.000000,14.880606,0.607273,0.000000,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.532728,47079,23.551516,0.122664,17.182425,0.089492,38.185993,11.611515,0.060477,56.506660,0.000000,1.990303,0.010366,0.421212,0.699394,21.833939,22.511515,0.000000,14.154546,0.553333,0.000000,
12,cube0,0.443030,731,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.390909,0.002036,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.500000,47025,23.551516,0.122664,17.293940,0.090073,37.939762,11.677576,0.060821,56.186996,0.000000,2.279394,0.011872,0.421212,0.699394,21.737576,22.452122,0.000000,14.069091,0.664849,0.000000,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.333334,46750,23.551516,0.122664,17.206667,0.089618,38.132191,11.285455,0.058778,58.139256,0.000000,2.173939,0.011323,0.421212,0.699394,21.946060,22.721212,0.000000,14.069697,0.549091,0.000000,
13,cube0,0.469091,774,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.428485,0.002232,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.149697,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.962423,46138,23.551516,0.122664,16.539394,0.086143,39.670612,11.277575,0.058737,58.179874,0.000000,1.903030,0.009912,0.421212,0.699394,22.161213,22.873940,0.000000,14.419394,0.693333,0.000000,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.341211,46763,23.551516,0.122664,17.100607,0.089066,38.368694,11.570303,0.060262,56.707932,0.000000,1.954545,0.010180,0.421212,0.699394,22.008486,22.544849,0.000000,14.196970,0.604849,0.000000,
14,cube0,0.439394,725,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.395758,0.002061,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.118788,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.293333,46684,23.551516,0.122664,17.150303,0.089324,38.257515,11.327272,0.058996,57.924618,0.000000,1.928485,0.010044,0.421212,0.699394,22.041819,22.753334,0.000000,14.422424,0.590303,0.000000,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.453333,46948,23.551516,0.122664,16.955151,0.088308,38.697853,11.820000,0.061563,55.509979,0.000000,2.129697,0.011092,0.421212,0.699394,21.780605,22.353333,0.000000,13.856970,0.631515,0.000000,
15,cube0,0.443030,731,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.390909,0.002036,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.141212,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.054546,47940,23.551516,0.122664,17.761818,0.092509,36.940361,11.104849,0.057838,59.084812,0.000000,2.196970,0.011443,0.421212,0.699394,21.733334,22.587273,0.000000,14.458181,0.721818,0.000000,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.968485,47798,23.551516,0.122664,17.304243,0.090126,37.917168,11.072122,0.057667,59.259460,0.000000,2.230303,0.011616,0.421212,0.699394,21.944849,22.503031,0.000000,14.178182,0.549091,0.000000,
16,cube0,0.433333,715,0.000000,0.000000,0.003030,0.000016,0.002424,0.000013,0.001212,0.000006,393.390656,0.000606,0.000003,0.000000,0.000000,0.378182,0.001970,0.017576,0.025455,0.000000,0.000000,0.000000,0.000000,0.112727,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.823637,47559,23.551516,0.122664,17.372122,0.090480,37.769016,11.210303,0.058387,58.529007,0.000000,2.227273,0.011600,0.421212,0.699394,21.722424,22.232727,0.000000,13.850303,0.553939,0.000000,
