block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
50,vector0,NA,NA,43.848484,72350,44.231815,30.622026,0.000000,0.000000,
50,vector1,NA,NA,43.679394,72071,44.231815,30.622026,0.000000,0.000000,
51,cube0,0.303636,501,NA,NA,NA,NA,NA,NA,
51,vector0,NA,NA,43.862423,72373,44.231815,30.622026,0.000000,0.000000,
51,vector1,NA,NA,43.767273,72216,44.231815,30.622026,0.000000,0.000000,
52,cube0,0.343030,566,NA,NA,NA,NA,NA,NA,
52,vector0,NA,NA,43.906666,72446,44.231815,30.622026,0.000000,0.000000,
52,vector1,NA,NA,44.865456,74028,44.231815,30.622026,0.000000,0.000000,
53,cube0,0.369091,609,NA,NA,NA,NA,NA,NA,
53,vector0,NA,NA,43.536968,71836,44.231815,30.622026,0.000000,0.000000,
53,vector1,NA,NA,43.670910,72057,44.231815,30.622026,0.000000,0.000000,
54,cube0,0.343636,567,NA,NA,NA,NA,NA,NA,
54,vector0,NA,NA,42.804241,70627,44.231815,30.622026,0.000000,0.000000,
54,vector1,NA,NA,43.393940,71600,44.231815,30.622026,0.000000,0.000000,
55,cube0,0.344242,568,NA,NA,NA,NA,NA,NA,
55,vector0,NA,NA,43.769093,72219,44.231815,30.622026,0.000000,0.000000,
55,vector1,NA,NA,44.018787,72631,44.231815,30.622026,0.000000,0.000000,
56,cube0,0.332121,548,NA,NA,NA,NA,NA,NA,
56,vector0,NA,NA,43.679394,72071,44.231815,30.622026,0.000000,0.000000,
56,vector1,NA,NA,44.170303,72881,44.231815,30.622026,0.000000,0.000000,
57,cube0,0.389091,642,NA,NA,NA,NA,NA,NA,
57,vector0,NA,NA,43.220001,71313,44.231815,30.622026,0.000000,0.000000,
57,vector1,NA,NA,44.194546,72921,44.231815,30.622026,0.000000,0.000000,
58,cube0,0.332727,549,NA,NA,NA,NA,NA,NA,
58,vector0,NA,NA,43.758183,72201,44.231815,30.622026,0.000000,0.000000,
58,vector1,NA,NA,43.895756,72428,44.231815,30.622026,0.000000,0.000000,
59,cube0,0.363636,600,NA,NA,NA,NA,NA,NA,
59,vector0,NA,NA,43.461819,71712,44.231815,30.622026,0.000000,0.000000,
59,vector1,NA,NA,45.254547,74670,44.231815,30.622026,0.000000,0.000000,
60,cube0,0.332727,549,NA,NA,NA,NA,NA,NA,
60,vector0,NA,NA,44.167877,72877,44.231815,30.622026,0.000000,0.000000,
60,vector1,NA,NA,44.406059,73270,44.231815,30.622026,0.000000,0.000000,
61,cube0,0.357576,590,NA,NA,NA,NA,NA,NA,
61,vector0,NA,NA,43.261818,71382,44.231815,30.622026,0.000000,0.000000,
61,vector1,NA,NA,43.058182,71046,44.231815,30.622026,0.000000,0.000000,
62,cube0,0.521212,860,NA,NA,NA,NA,NA,NA,
62,vector0,NA,NA,43.835758,72329,44.231815,30.622026,0.000000,0.000000,
62,vector1,NA,NA,44.634544,73647,44.231815,30.622026,0.000000,0.000000,
63,cube0,0.329697,544,NA,NA,NA,NA,NA,NA,
63,vector0,NA,NA,43.669090,72054,44.231815,30.622026,0.000000,0.000000,
63,vector1,NA,NA,43.287880,71425,44.231815,30.622026,0.000000,0.000000,
64,cube0,0.353333,583,NA,NA,NA,NA,NA,NA,
64,vector0,NA,NA,42.756363,70548,44.231815,30.701153,0.000000,0.000000,
64,vector1,NA,NA,42.926666,70829,44.231815,30.701153,0.000000,0.000000,
65,cube0,0.309091,510,NA,NA,NA,NA,NA,NA,
65,vector0,NA,NA,42.892727,70773,44.231815,30.701153,0.000000,0.000000,
65,vector1,NA,NA,43.332123,71498,44.231815,30.701153,0.000000,0.000000,
66,cube0,0.335152,553,NA,NA,NA,NA,NA,NA,
66,vector0,NA,NA,43.839394,72335,44.231815,30.701153,0.000000,0.000000,
66,vector1,NA,NA,45.266666,74690,44.231815,30.701153,0.000000,0.000000,
67,cube0,0.310909,513,NA,NA,NA,NA,NA,NA,
67,vector0,NA,NA,43.759396,72203,44.231815,30.701153,0.000000,0.000000,
67,vector1,NA,NA,42.255150,69721,44.231815,30.701153,0.000000,0.000000,
68,cube0,0.370303,611,NA,NA,NA,NA,NA,NA,
68,vector0,NA,NA,43.527878,71821,44.231815,30.701153,0.000000,0.000000,
68,vector1,NA,NA,43.899395,72434,44.231815,30.701153,0.000000,0.000000,
69,cube0,0.327273,540,NA,NA,NA,NA,NA,NA,
69,vector0,NA,NA,43.784847,72245,44.231815,30.701153,0.000000,0.000000,
69,vector1,NA,NA,43.866062,72379,44.231815,30.701153,0.000000,0.000000,
70,cube0,0.335152,553,NA,NA,NA,NA,NA,NA,
70,vector0,NA,NA,44.002426,72604,44.231815,30.701153,0.000000,0.000000,
70,vector1,NA,NA,44.398182,73257,44.231815,30.701153,0.000000,0.000000,
71,cube0,0.303030,500,NA,NA,NA,NA,NA,NA,
71,vector0,NA,NA,43.884850,72410,44.231815,30.701153,0.000000,0.000000,
71,vector1,NA,NA,43.519394,71807,44.231815,30.701153,0.000000,0.000000,
72,cube0,0.355152,586,NA,NA,NA,NA,NA,NA,
72,vector0,NA,NA,43.952728,72522,44.231815,30.701153,0.000000,0.000000,
72,vector1,NA,NA,42.656364,70383,44.231815,30.701153,0.000000,0.000000,
73,cube0,0.364848,602,NA,NA,NA,NA,NA,NA,
73,vector0,NA,NA,43.569698,71890,44.231815,30.701153,0.000000,0.000000,
73,vector1,NA,NA,44.660606,73690,44.231815,30.701153,0.000000,0.000000,
74,cube0,0.353939,584,NA,NA,NA,NA,NA,NA,
74,vector0,NA,NA,45.823635,75609,44.231815,30.701153,0.000000,0.000000,
74,vector1,NA,NA,44.248486,73010,44.231815,30.701153,0.000000,0.000000,
75,cube0,0.340606,562,NA,NA,NA,NA,NA,NA,
