block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.542425,43795,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.576969,43852,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
19,cube0,0.495152,817,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.858788,44317,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.849091,44301,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
20,cube0,0.395758,653,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.115757,39791,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.845455,40995,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
21,cube0,0.334545,552,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.001818,39603,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
21,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.676970,40717,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
22,cube0,0.354545,585,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.334545,40152,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
22,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.904242,39442,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
23,cube0,0.355152,586,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.569092,40539,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
23,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.079393,39731,0.269354,0.193882,0.242356,0.000000,0.000000,0.026987,1672192,
