block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.583031,42212,5.976147,5.976147,5.980593,5.978370,23,0.187947,23,0.183774,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
13,cube0,0.487273,804,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.895151,42727,5.976147,5.976147,5.980593,5.978370,23,0.191012,23,0.105203,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.960606,42835,5.976147,5.976147,5.980593,5.978370,23,0.167627,23,0.106038,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
14,cube0,0.437576,722,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.020000,44583,5.976147,5.976147,5.980593,5.978370,23,0.193471,23,0.094911,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.596970,43885,5.976147,5.976147,5.980593,5.978370,23,0.202607,23,0.094500,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
15,cube0,0.503030,830,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.747879,44134,5.976147,5.976147,5.980593,5.978370,23,0.200240,23,0.189342,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.879395,44351,5.976147,5.976147,5.980593,5.978370,23,0.188302,23,0.186346,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
16,cube0,0.478182,789,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.876970,44347,5.976147,5.976147,5.980593,5.978370,23,0.182081,23,0.178834,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.788485,42551,5.976147,5.976147,5.980593,5.978370,23,0.185832,23,0.183190,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
17,cube0,0.459394,758,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.401817,43563,5.976147,5.976147,5.980593,5.978370,23,0.196306,23,0.099211,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.050909,42984,5.976147,5.976147,5.980593,5.978370,23,0.171023,23,0.100274,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
18,cube0,0.450303,743,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.542425,43795,5.976147,5.976147,5.980593,5.978370,23,0.198056,23,0.095941,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.576969,43852,5.976147,5.976147,5.980593,5.978370,23,0.197987,23,0.099222,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
19,cube0,0.495152,817,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.858788,44317,5.976147,5.976147,5.980593,5.978370,23,0.181235,23,0.178411,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.849091,44301,5.976147,5.976147,5.980593,5.978370,23,0.184357,23,0.179383,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
20,cube0,0.395758,653,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.115757,39791,5.976147,5.976147,5.980593,5.978370,23,0.168931,23,0.101304,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
20,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.845455,40995,5.976147,5.976147,5.980593,5.978370,23,0.181933,23,0.100823,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
21,cube0,0.334545,552,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.001818,39603,5.976147,5.976147,5.980593,5.978370,23,0.145489,23,0.165912,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
21,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.676970,40717,5.976147,5.976147,5.980593,5.978370,23,0.169354,23,0.173734,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
22,cube0,0.354545,585,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.334545,40152,5.976147,5.976147,5.980593,5.978370,23,0.167902,23,0.097496,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
22,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.904242,39442,5.976147,5.976147,5.980593,5.978370,23,0.163922,23,0.092133,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
23,cube0,0.355152,586,0.000000,0.000000,0.002223,0.002223,3,0.000057,2,0.000046,1,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125000,0.125000,0.000000,0.000000,0.500000,0.004459,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.569092,40539,5.976147,5.976147,5.980593,5.978370,23,0.166781,23,0.162847,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
23,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.079393,39731,5.976147,5.976147,5.980593,5.978370,23,0.142493,23,0.168771,336.250000,336.125000,NA,NA,NA,NA,NA,NA,NA,NA,336.000000,2.715690,336.000000,3.199222,
